location,Basileia,Basileia,Basileia,Basileia,Basileia,Basileia,Basileia
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration
unit,°C,mm,%,%,%,%,min
level,2 m elevation corrected,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Basileia Temperature [2 m elevation corrected],Basileia Precipitation Total,Basileia Cloud Cover Total,Basileia Cloud Cover High [high cld lay],Basileia Cloud Cover Medium [mid cld lay],Basileia Cloud Cover Low [low cld lay],Basileia Sunshine Duration
20200108T0200,0.22024539,0.0,22.0,6.0,6.0,22.0,0.0
20200108T0300,0.030245423,0.0,27.0,0.0,12.0,27.0,0.0
20200108T0400,-0.09975457,0.0,23.0,5.0,3.0,23.0,0.0
20200108T0500,-0.29975462,0.0,21.6,72.0,9.0,20.0,0.0
20200108T0600,0.030245423,0.0,24.900002,83.0,11.0,16.0,0.0
20200108T0700,0.4202454,0.0,45.0,87.0,45.0,23.0,0.0
20200108T0800,0.8102454,0.0,59.0,97.0,59.0,31.0,17.885523
20200108T0900,1.8102454,0.0,60.0,96.0,60.0,48.0,23.636362
20200108T1000,2.9902453,0.0,97.0,100.0,97.0,67.0,1.2121224
20200108T1100,4.3702455,0.0,92.0,90.0,92.0,72.0,4.242425
20200108T1200,5.5502453,0.0,92.0,67.0,84.0,92.0,4.242425
20200108T1300,6.710245,0.0,97.0,54.0,79.0,97.0,1.2121224
20200108T1400,7.7402453,0.0,98.0,11.0,75.0,98.0,0.6060612
20200108T1500,7.7402453,0.0,96.0,54.0,72.0,96.0,1.8181801
20200108T1600,6.8402452,0.1,92.0,84.0,59.0,92.0,4.0715494
20200108T1700,6.0302453,0.1,96.0,65.0,61.0,96.0,0.0
20200108T1800,6.2602453,0.3,92.0,81.0,53.0,92.0,0.0
20200108T1900,6.2002454,0.2,96.0,84.0,51.0,96.0,0.0
20200108T2000,6.210245,0.2,95.0,81.0,43.0,95.0,0.0
20200108T2100,6.2002454,0.0,97.0,87.0,37.0,97.0,0.0
20200108T2200,6.6602454,0.0,100.0,92.0,42.0,100.0,0.0
20200108T2300,6.8102455,0.0,100.0,98.0,58.0,100.0,0.0
20200109T0000,6.940245,0.0,100.0,95.0,61.0,100.0,0.0
20200109T0100,6.670245,0.0,95.0,95.0,63.0,95.0,0.0
20200109T0200,6.360245,0.0,86.0,96.0,61.0,86.0,0.0
20200109T0300,6.0902452,0.0,83.0,97.0,54.0,83.0,0.0
20200109T0400,5.900245,0.0,90.0,96.0,48.0,90.0,0.0
20200109T0500,5.750245,0.0,94.0,98.0,56.0,94.0,0.0
20200109T0600,5.8102455,0.0,84.0,98.0,55.0,84.0,0.0
20200109T0700,5.9302454,0.0,69.0,98.0,38.0,69.0,0.0
20200109T0800,5.860245,0.0,55.0,98.0,37.0,55.0,19.814814
20200109T0900,6.400245,0.0,39.0,94.0,30.0,39.0,36.36364
20200109T1000,8.450246,0.0,26.7,89.0,20.0,21.0,43.818184
20200109T1100,9.930245,0.0,28.800001,96.0,26.0,19.0,42.545456
20200109T1200,11.330245,0.0,39.0,83.0,39.0,20.0,36.36364
20200109T1300,12.490245,0.0,35.0,34.0,35.0,17.0,38.78788
20200109T1400,13.040245,0.0,37.0,14.0,37.0,12.0,37.57576
20200109T1500,12.300245,0.0,28.0,3.0,28.0,8.0,43.0303
20200109T1600,10.040245,0.0,23.0,13.0,23.0,8.0,45.10101
20200109T1700,8.770246,0.0,21.0,20.0,21.0,5.0,0.0
20200109T1800,7.9102454,0.0,25.0,42.0,25.0,1.0,0.0
20200109T1900,7.4902453,0.0,41.0,70.0,41.0,0.0,0.0
20200109T2000,7.210245,0.0,81.0,2.0,81.0,0.0,0.0
20200109T2100,7.2002454,0.0,86.0,0.0,86.0,0.0,0.0
20200109T2200,7.980245,0.0,100.0,0.0,100.0,26.0,0.0
20200109T2300,8.640245,0.0,100.0,0.0,100.0,49.0,0.0
20200110T0000,8.740245,0.0,100.0,0.0,100.0,70.0,0.0
20200110T0100,9.480246,0.2,99.0,0.0,99.0,74.0,0.0
20200110T0200,9.090245,0.3,100.0,0.0,100.0,74.0,0.0
20200110T0300,8.920245,0.4,100.0,4.0,100.0,8.0,0.0
